,HOOD,,,,,,,ADDR,CITY,ZIP,Latitude,Longitude,,,,,,PRICE,,
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,28, ,A1, 2329 WASHINGTON AVE                       ,NYC,10458,40.856079,-73.892705,"1,103","1,290",1910,1, A1 ,"$300,000 ",2/20/2015,"BATHGATE $403,333"
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,36, ,S1, 455 EAST 184 STREET                       ,NYC,10458,40.8562802,-73.8933027,"2,500","2,452",1910,1, S1 ,"$400,000 ",7/1/2015,
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3053,87, ,S0, 2368 WASHINGTON AVENUE                    ,NYC,10458,40.856734,-73.891603,"1,911","4,080",1931,1, S0 ,"$510,000 ",1/6/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4707,62, ,A5, 1114 EAST 213 STREET                      ,NYC,10469,40.875774,-73.853984,"1,914","1,386",1950,1, A5 ,"$301,600 ",3/30/2015,"$326,361 "
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4709,49, ,A5, 1138 EAST 215TH STREET                    ,NYC,10469,40.876938,-73.852942,"1,710","1,732",1945,1, A5 ,"$345,360 ",1/13/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4709,50, ,A5, 1142 EAST 215TH STREET                    ,NYC,10469,40.876919,-73.85288,"1,710","1,732",1945,1, A5 ,"$185,000 ",2/18/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4709,150, ,A5, 1146 E. 215TH STREET                      ,NYC,10469,40.876903,-73.852817,"1,710","1,732",1945,1, A5 ,"$386,900 ",8/31/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4709,150, ,A5, 1146 EAST 215 STREET                      ,NYC,10469,40.876903,-73.852817,"1,710","1,732",1945,1, A5 ,"$210,000 ",1/8/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4711,99, ,A5, 1315 HICKS STREET                         ,NYC,10469,40.877719,-73.851721,"1,710","1,701",1950,1, A5 ,"$330,000 ",11/4/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4711,100, ,A5, 1313 HICKS STREET                         ,NYC,10469,40.87769,-73.851773,"1,710","1,701",1950,1, A5 ,"$386,000 ",6/18/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4723,6, ,A2, 3477 MICKLE AVENUE                        ,NYC,10469,40.878782,-73.846569,"1,918","1,024",1945,1, A2 ,"$156,750 ",11/16/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4724,6, ,A2, 3487 KINGSLAND AVENUE                     ,NYC,10469,40.879044,-73.845758,"2,288","1,480",1925,1, A2 ,"$330,000 ",10/20/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4733,14, ,A5, 3341 BOUCK AVENUE                         ,NYC,10469,40.874138,-73.851277,"1,900","1,254",1940,1, A5 ,"$385,000 ",12/21/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4733,14, ,A5, 3341 BOUCK AVENUE                         ,NYC,10469,40.874138,-73.851277,"1,900","1,254",1940,1, A5 ,"$190,000 ",6/11/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4733,17, ,A5, 3335 BOUCK AVENUE                         ,NYC,10469,40.873989,-73.851196,"1,900","1,254",1940,1, A5 ,"$363,279 ",1/28/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4734,66, ,A5, 3344 BOUCK AVENUE                         ,NYC,10469,40.874401,-73.850802,"1,900","1,681",1940,1, A5 ,"$379,000 ",6/30/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4735,83, ,S1, 3304 WILSON AVENUE                        ,NYC,10469,40.873633,-73.849363,"2,208","2,430",1930,1, S1 ,"$320,000 ",10/20/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4735,84, ,A5, 3308 WILSON AVENUE                        ,NYC,10469,40.8737779,-73.849504,"2,216","2,430",1930,1, A5 ,"$385,000 ",3/2/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4735,87, ,A5, 3322 WILSON AVENUE                        ,NYC,10469,40.874146,-73.849643,"2,367","2,430",1930,1, A5 ,"$310,000 ",1/30/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4738,45, ,A5, 3324 FENTON AVENUE                        ,NYC,10469,40.874913,-73.847011,"2,208","1,476",1940,1, A5 ,"$429,000 ",2/6/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4740,51, ,A5, 3244 FISH AVENUE                          ,NYC,10469,40.873502,-73.848276,"2,500","1,736",1935,1, A5 ,"$467,500 ",8/13/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4740,51, ,A5, 3244 FISH AVENUE                          ,NYC,10469,40.873502,-73.848276,"2,500","1,736",1935,1, A5 ,"$305,000 ",3/11/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4743,129, ,A5, 3307 EASTCHESTER ROAD                     ,NYC,10469,40.87489,-73.845564,"1,800","1,633",1950,1, A5 ,"$298,700 ",10/26/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4745,35, ,A1, 1603 GIVAN AVENUE                         ,NYC,10469,40.8752433,-73.8440928,"2,774","1,378",1920,1, A1 ,"$110,000 ",7/23/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4749,60, ,A5, 3340 KINGSLAND AVENUE                     ,NYC,10469,40.876455,-73.84374,"2,375","1,960",1955,1, A5 ,"$345,000 ",11/6/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4750,16, ,A5, 3343 GUNTHER AVENUE                       ,NYC,10469,40.8768746,-73.8425945,"1,710","1,539",1950,1, A5 ,"$320,000 ",2/25/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4751,1, ,A9, 3354 GUNTHER AVENUE                       ,NYC,10469,40.8773826,-73.8423125,"2,997",948,1960,1, A9 ,"$335,000 ",8/14/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4756,62, ,A2, 3244 BRUNER AVENUE                        ,NYC,10469,40.8758988,-73.8395657,"2,850","1,056",1960,1, A2 ,"$308,000 ",2/6/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4766,33, ,A1, 1511 ADEE AVENUE                          ,NYC,10469,40.8697734,-73.8422106,"2,502","1,224",1935,1, A1 ,"$400,000 ",10/15/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4781,32, ,A5, 3021 EDSON AVENUE                         ,NYC,10469,40.872459,-73.835431,"1,692","1,674",1955,1, A5 ,"$230,000 ",6/8/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4792,12, ,A1, 2837 GUNTHER AVE                          ,NYC,10469,40.868169,-73.8381969,"4,750","1,063",1910,1, A1 ,"$645,000 ",11/24/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4792,22, ,A1, 2823 GUNTHER AVENUE                       ,NYC,10469,40.867503,-73.837883,"4,750","2,178",1910,1, A1 ,"$460,000 ",10/23/2015,
