CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HOOD,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
720377449,12/31/2016,4:00:00,12/31/2016,4:30:00,12/31/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,SOUNDVIEW,1020891,236726,40.81636615,-73.86762631,"(40.816366145, -73.867626311)"
580810951,12/30/2016,16:00:00,12/30/2016,16:20:00,12/30/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,CASTLE HILL,1026596,236961,40.81698565,-73.84701407,"(40.816985648, -73.847014071)"
125952823,12/30/2016,13:30:00,12/30/2016,13:45:00,12/30/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,CASTLE HILL,1025580,236918,40.81687244,-73.85068493,"(40.816872438, -73.850684927)"
597238868,12/29/2016,22:20:00,12/29/2016,22:35:00,12/29/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,45,FRONT OF,RESIDENCE - PUBLIC HOUSING,,THROGGS NECK,1033577,239043,40.82266392,-73.82177792,"(40.822663919, -73.821777915)"
692787177,12/29/2016,17:05:00,12/29/2016,17:10:00,12/29/2016,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,CASTLE HILL,1026999,237853,40.81943199,-73.84555244,"(40.819431994, -73.845552435)"
345729992,12/29/2016,15:14:00,,,12/29/2016,105,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",ATTEMPTED,FELONY,N.Y. HOUSING POLICE,BRONX,42,INSIDE,RESIDENCE - PUBLIC HOUSING,,MORRISANIA,1010158,242490,40.83222468,-73.90637977,"(40.832224679, -73.906379774)"
393119577,12/27/2016,5:00:00,12/27/2016,5:02:00,12/28/2016,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,42,INSIDE,RESIDENCE - PUBLIC HOUSING,,MORRISANIA,1010158,242490,40.83222468,-73.90637977,"(40.832224679, -73.906379774)"
583766775,12/25/2016,18:20:00,,,12/25/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,45,INSIDE,RESIDENCE - PUBLIC HOUSING,,THROGGS NECK,1032930,239207,40.82311764,-73.8241144,"(40.823117641, -73.824114397)"
802050197,12/25/2016,0:30:00,12/25/2016,0:45:00,12/25/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,SOUNDVIEW,1021457,236045,40.81449463,-73.86558527,"(40.814494627, -73.865585266)"
747211779,12/23/2016,19:30:00,,,12/23/2016,109,GRAND LARCENY,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,BRONXDALE,1021275,240025,40.82541936,-73.86622081,"(40.825419359, -73.866220811)"
704323828,12/22/2016,12:40:00,12/22/2016,12:42:00,12/22/2016,105,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,CASTLE HILL,1025622,237609,40.81876884,-73.85052893,"(40.818768839, -73.850528931)"
527075012,12/22/2016,10:50:00,,,12/22/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,FRONT OF,RESIDENCE - PUBLIC HOUSING,,BRONXDALE,1021576,240437,40.82654891,-73.86513093,"(40.826548914, -73.865130932)"
524939256,12/22/2016,9:45:00,12/22/2016,10:06:00,12/22/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,44,INSIDE,RESIDENCE - PUBLIC HOUSING,,HIGHBRIDGE ,1003988,244111,40.8366898,-73.92867103,"(40.836689799, -73.928671032)"
775574402,12/17/2016,8:00:00,12/17/2016,20:00:00,12/18/2016,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,44,INSIDE,RESIDENCE - PUBLIC HOUSING,,HIGHBRIDGE ,1003988,244111,40.8366898,-73.92867103,"(40.836689799, -73.928671032)"
418513590,12/15/2016,2:50:00,12/15/2016,2:52:00,12/15/2016,109,GRAND LARCENY,404,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,REAR OF,RESIDENCE - PUBLIC HOUSING,,SOUNDVIEW,1021490,236442,40.81558414,-73.86546385,"(40.81558414, -73.865463846)"
